Name,Mutation,Age,Lower1,Upper1,Lower2,Upper2
Y-Adam,,253884 ,246325 ,261464 ,191875 ,307116 
A0T,L1085,148050 ,143587 ,152696 ,111847 ,179357 
BT,M8955,99802 ,96540 ,103109 ,75200 ,121113 
CT,M168/PF1416,71760 ,69777 ,73799 ,54353 ,86685 
CF,P143,71048 ,69043 ,73054 ,53781 ,85810 
GHIJK,F1329/M3658/PF2622/YSC0001299,51557 ,50206 ,52911 ,39108 ,62150 
HIJK,F929/M578/PF3494/S6378,51328 ,50004 ,52630 ,38951 ,61820 
IJK,L15/M523/PF3492/S137,50460 ,49208 ,51729 ,38331 ,60761 
K,M9,48995 ,47746 ,50210 ,37192 ,58977 
K2,F549/M2335/S22380/V4208,48871 ,47622 ,50085 ,37095 ,58831 
K2b,M1221/P331/PF5911,48572 ,47287 ,49812 ,36834 ,58510 
P,P295/PF5866/S8,48142 ,46813 ,49445 ,36465 ,58079 
P1,M45/PF5962,35282 ,33662 ,36917 ,26221 ,43362 
R,M207/Page37/UTY2,28891 ,27240 ,30540 ,21219 ,35873 
R1,M173/P241/Page29,23729 ,22151 ,25314 ,17255 ,29734 
R1b,M343,20912 ,19361 ,22491 ,15081 ,26418 
Q,M242,28894 ,27324 ,30430 ,21284 ,35743 
K2b1,P399,47932 ,46495 ,49258 ,36217 ,57859 
S,B254,47628 ,46123 ,49024 ,35928 ,57584 
NO,M214/Page39,41900 ,40175 ,43591 ,31294 ,51202 
N,M231/Page91,19153 ,17559 ,20792 ,13677 ,24422 
O,M175,34042 ,32387 ,35708 ,25228 ,41942 
O1,F265/M1354,33103 ,31401 ,34781 ,24460 ,40854 
O1a,M119,16538 ,15091 ,18003 ,11755 ,21147 
LT,L298/P326,45610 ,43844 ,47299 ,34152 ,55558 
IJ,M429/P125/PF3535,45439 ,43735 ,47100 ,34067 ,55324 
J,M304/Page16/PF4609,33417 ,31738 ,35176 ,24722 ,41318 
J2,M172,30261 ,28570 ,32006 ,22254 ,37594 
J2a,M410,19494 ,18067 ,20953 ,14073 ,24611 
J2b,M12,16315 ,14700 ,18041 ,11451 ,21191 
I,M170/PF3715,29435 ,27460 ,31383 ,21390 ,36863 
I2,M438/P215/PF3853/S31,24240 ,22287 ,26249 ,17361 ,30832 
H,L901/M2939,48486 ,46991 ,49972 ,36603 ,58698 
H1,L902/M3061,43837 ,42065 ,45598 ,32767 ,53559 
H1a,M69/Page45,40662 ,38837 ,42519 ,30252 ,49943 
C,M130/Page51/RPS4Y711,50865 ,49191 ,52699 ,38317 ,61900 
C1,F3393/Z1426,49346 ,47771 ,51094 ,37211 ,60016 
C2,M217,35383 ,33305 ,37537 ,25943 ,44092 
DE,M145/P205/PF1444,68555 ,66457 ,70676 ,51766 ,83017 
E,M96/PF1823,54140 ,51590 ,56614 ,40186 ,66499 
D,M174/Page30,49866 ,47470 ,52529 ,36977 ,61701 
B2,M182,64034 ,60970 ,67084 ,47492 ,78798 